,ref,company_manufacturer,company_location,review_date,country_of_bean_origin,specific_bean_origin_or_bar_name,cocoa_percent,ingredients,most_memorable_characteristics,rating
1467,2442,Manoa,U.S.A.,2019,U.S.A.,"Hawai'i Island, Hilo and Kona regions",70%,"3- B,S,C","dried fruit,spicy,sticky,intense",3.5
1468,871,Manufaktura Czekolady,Poland,2012,Dominican Republic,Grand Cru Dominican Republic,70%,"2- B,S","chewy, brownie like",3.25
1469,875,Manufaktura Czekolady,Poland,2012,Ecuador,Grand Cru Ecuador,70%,"2- B,S","grits, roaste brownie",3.25
1470,871,Manufaktura Czekolady,Poland,2012,Ghana,Grand Cru Ghana,70%,"2- B,S","cocoa, coconut",3.5
1471,1279,Manufaktura Czekolady,Poland,2014,Colombia,Kolumbia,85%,"2- B,S","coarse, intense, nutty",3.5
1472,1255,Manufaktura Czekolady,Poland,2014,Venezuela,Porcelana,70%,"2- B,S","nutty, intense, roasty",3.75
1473,1848,Manufaktura Czekolady,Poland,2016,Peru,Peru,70%,"3- B,S,C","nutty, roasty,",3.5
1474,1844,Manufaktura Czekolady,Poland,2016,Nicaragua,Johe,70%,"3- B,S,C","basic, balanced, deep cocoa",3.75
1475,1606,Map Chocolate,U.S.A.,2015,Trinidad,"San Juan Estate, Cherry Blossoms at Night",70%,"3- B,S,C","heavy roast, few grits, rich",2.75
1476,1610,Map Chocolate,U.S.A.,2015,Colombia,Colombia,75%,"3- B,S,C","roasty, coffee, rubber",2.75
1477,1610,Map Chocolate,U.S.A.,2015,Tanzania,"Kakoa Kamili, Both Man & Bird & Beast",72%,"3- B,S,C","sweet, fatty, roasty",3.0
1478,1474,Map Chocolate,U.S.A.,2015,Dominican Republic,"ROIG, 2014",70%,"3- B,S,C","fruity, tangy, cocoa",3.5
1479,1474,Map Chocolate,U.S.A.,2015,Peru,"Maranon, 2014",62%,"3- B,S,C","delicate, caramel, peanut",3.5
1480,1478,Map Chocolate,U.S.A.,2015,Ecuador,Ecuador,70%,"3- B,S,C","coarse, floral, rum",3.5
1481,1606,Map Chocolate,U.S.A.,2015,Nicaragua,"A case of the Xerces Blues, triple roast",70%,"3- B,S,C","rich, bright fruit",3.5
1482,1606,Map Chocolate,U.S.A.,2015,Peru,"Tumbes, Dear Mr. Finley, 2014",68%,"3- B,S,C","lemon, spicy, cocoa",3.5
1483,1634,Map Chocolate,U.S.A.,2015,Honduras,Le Chocolat Chaud,78%,"3- B,S,C","grassy, woody, sweet",3.5
1484,1896,Map Chocolate,U.S.A.,2016,Vietnam,"Ben Tre, Surprise Valley",75%,"3- B,S,C","intense, sour, tart",3.25
1485,1956,Map Chocolate,U.S.A.,2017,Vietnam,"Lam Dong, ""Red Poppy""",73%,"2- B,S","earthy, tobacco, ashey",3.0
1486,2262,Map Chocolate,U.S.A.,2018,Blend,"""Peace of Wild Things""",72%,"3- B,S,C","off notes, rubbery, hammy",3.0
1487,2262,Map Chocolate,U.S.A.,2018,Mexico,"Tabasco, ""Late for the Train"", batch 12184",72%,"3- B,S,C","sweet, spicy, dirty",3.25
1488,2040,Map Chocolate,U.S.A.,2018,Dominican Republic,Zorzal Reserve,72%,"3- B,S,C","complex, creamy, cherry",3.5
1489,1884,Marana,Peru,2016,Peru,Cusco,70%,"3- B,S,C","smokey, dirty, sour",2.75
1490,2610,Marana,Peru,2021,Peru,"San Martin, Allima coop",80%,"3- B,S,C","smoked nuts, tang",3.25
1491,2610,Marana,Peru,2021,Peru,"Piura, Norandino coop, cacao blanco",70%,"3- B,S,C","mild orange, herbaceous",3.5
1492,2598,Maribea,U.S.A.,2021,Mexico,Tabasco,72%,"3- B,S,C","earthy, musty, sweet",2.75
1493,2598,Maribea,U.S.A.,2021,Bolivia,"Alto Beni, Walikewa",72%,"3- B,S,C","floral, earthy, acidic, harsh",2.75
1494,2598,Maribea,U.S.A.,2021,Brazil,"Bahia, Catongo",72%,"3- B,S,C","delicate, nutty, butterscotch",3.25
1495,1808,Marigold's Finest,Canada,2016,Blend,Cacao Nib Crunch,75%,"2- B,S","earthy, coffee, roasty",3.25
1496,2158,Markham & Fitz,U.S.A.,2018,Haiti,"Pisa, batch 58",75%,"2- B,S","dried fruit, woody, dirty",2.75
1497,895,Marou,Vietnam,2012,Vietnam,Tien Giang,80%,"3- B,S,C","creamy, fatty, black pepper",3.0
1498,845,Marou,Vietnam,2012,Vietnam,Ba Ria,76%,"3- B,S,C",citrus,3.5
1499,845,Marou,Vietnam,2012,Vietnam,Dong Nai,72%,"3- B,S,C","roasty, coffee",3.5
1500,845,Marou,Vietnam,2012,Vietnam,"Tien Giang, Gao Co-op",70%,"3- B,S,C","cocoa, spice, late sour",3.5
1501,849,Marou,Vietnam,2012,Vietnam,Ben Tre,78%,"3- B,S,C","sticky, pepper, cinamon, rich",3.5
1502,955,Marou,Vietnam,2012,Vietnam,Lam Dong,74%,"3- B,S,C","melon, roasty",3.5
1503,1149,Marou,Vietnam,2013,Vietnam,"Tan Phu Dong, Treasure Island",75%,"3- B,S,C","fatty, heavy roast, nutty",3.5
1504,1650,Marou,Vietnam,2015,Vietnam,"Tan Phu Dong Island, Heart of Darkness",85%,"2- B,S","long, mild honey, rich cocoa",3.25
1505,1650,Marou,Vietnam,2015,Vietnam,Ben Tre,68%,"2- B,S","roasty, rich, coffee, nut",3.5
1506,1650,Marou,Vietnam,2015,Vietnam,"Dak Lak, Batch 2451",70%,"2- B,S",spicy and fragrant,3.75
1507,2258,Marou,Vietnam,2018,Vietnam,"Dak Nong, Tam Farm",75%,"3- B,S,C","fatty, roasty, nutty",3.5
1508,537,Mars,U.S.A.,2010,Costa Rica,"Matina 1-6, prototype",65%,,"intense orange, floral",3.0
1509,544,Mars,U.S.A.,2010,Ivory Coast,"Ivory Coast, prototype",65%,,"chewy, earthy, spicy",3.0
1510,544,Mars,U.S.A.,2010,Nigeria,"Nigeria, prototype",65%,,"cocoa, earth, wheat",3.25
1511,544,Mars,U.S.A.,2010,Ghana,"Ghana, prototype",65%,,"intense, dark berry, cocoa",3.5
1512,1189,Marsatta,U.S.A.,2013,Dominican Republic,Dominican Republic,74%,"4- B,S,C,V","waxy, rubber, medicinal",2.25
1513,1189,Marsatta,U.S.A.,2013,Dominican Republic,Dominican Republic,89%,"4- B,S,C,V","fatty, rubber, medicinal",2.5
1514,1836,Martin Mayer,Austria,2016,Bolivia,Alto Beni,76%,"3- B,S,C","sticky, pungent, off note",2.75
1515,1836,Martin Mayer,Austria,2016,Haiti,Pisa,82%,"3- B,S,C","sandy, earthy, sweet edge",3.0
1516,1836,Martin Mayer,Austria,2016,Colombia,Tumaco,74%,"3- B,S,C","sandy, mild floral, mild nutty",3.25
1517,572,Mast Brothers,U.S.A.,2010,Venezuela,Patanemo,81%,"2- B,S","sticky, woody, musty",2.75
1518,572,Mast Brothers,U.S.A.,2010,Venezuela,Ocumare de la Costa,75%,"2- B,S","dry, sticky, nutty, earthy",3.0
1519,572,Mast Brothers,U.S.A.,2010,Dominican Republic,"Dominican Republic, Coop",70%,"2- B,S","sticky, earthy, coffee",3.25
1520,713,Mast Brothers,U.S.A.,2011,Venezuela,"Chuao, Light Roast",81%,"2- B,S","gritty, high astringent, sour",2.75
1521,777,Mast Brothers,U.S.A.,2011,Papua New Guinea,Papua New Guinea,71%,"2- B,S","gritty, sticky, smoke,hammy",2.75
1522,701,Mast Brothers,U.S.A.,2011,Venezuela,"Chuao, Med. Roast",76%,"2- B,S","sandy, strawberry, sour",3.0
1523,709,Mast Brothers,U.S.A.,2011,Venezuela,"Chuao, Dark Roast",70%,"2- B,S","dry, sandy, intense, berry",3.0
1524,777,Mast Brothers,U.S.A.,2011,Peru,San Martin,75%,"2- B,S","orange,lemon,coffee ground",3.0
1525,777,Mast Brothers,U.S.A.,2011,Dominican Republic,Conacado,73%,"2- B,S","dry, gritty, red berry, coffee",3.25
1526,672,Mast Brothers,U.S.A.,2011,Blend,Brooklyn Blend,72%,"2- B,S","rich cocoa, coffee, roasty",3.5
1527,773,Mast Brothers,U.S.A.,2011,Belize,Moho River,70%,"2- B,S","gritty, tangy, cocoa",3.5
1528,777,Mast Brothers,U.S.A.,2011,Dominican Republic,"La Red de Guanconejo, N. Highlands coop",74%,"2- B,S","gritty, raspberry, sour",3.75
1529,999,Mast Brothers,U.S.A.,2012,Blend,Madagascar,72%,"2- B,S","gritty, overly tart, sour",2.5
1530,999,Mast Brothers,U.S.A.,2012,Venezuela,Chuao,73%,"2- B,S","gritty, sour, sweet",2.75
1531,959,Mast Brothers,U.S.A.,2012,Blend,"Shake Shack, Peru, Mad., Dom. Rep.",73%,"2- B,S","gritty, fruit, tart, rich",3.5
1532,1359,Mast Brothers,U.S.A.,2014,Blend,"French Laundry 20th Anniversary, Peru, Belize",75%,"2- B,S","tart, deep choco",3.75
1533,1450,Mast Brothers,U.S.A.,2015,Guatemala,Guatemala,76%,"2- B,S","mild bitter, citrus, intense",3.0
1534,1450,Mast Brothers,U.S.A.,2015,Tanzania,Tanzania,74%,"2- B,S","green, vegetal, mild spice",3.25
1535,1177,Matale,Australia,2013,Vanuatu,"Malekula P., 2013",72%,"3- B,S,C","sticky, butterscotch, nutty",3.5
1536,1181,Matale,Australia,2013,Blend,"PNG, Vanuatu, Mad; 2013 h.",70%,"3- B,S,C","nutty, fruity, spicy",3.75
1537,1177,Matale,Australia,2013,Madagascar,"Somia, 2013",68%,"3- B,S,C","sticky, red fruit",4.0
1538,1177,Matale,Australia,2013,Papua New Guinea,"Kulili P., 2013",74%,"3- B,S,C","creamy, grassy, smoke, nut",4.0
1539,2704,Maui Kuia,U.S.A.,2021,U.S.A.,"Kuia Estate, Hawaii, lot 083122",70%,"3- B,S,C","sweet, banana, mild sour orange",3.5
1540,1367,Maverick,U.S.A.,2014,Belize,Maya Mountain,70%,"2- B,S","heavy roast, smoke",3.25
1541,1367,Maverick,U.S.A.,2014,Dominican Republic,Elvesia,70%,"2- B,S","roasty, coffee",3.25
1542,1430,Maverick,U.S.A.,2014,Peru,Tumbes,82%,"2- B,S","intense, burnt, bitter, spice",3.25
1543,1430,Maverick,U.S.A.,2014,Peru,"Morropon, Norandiono Coop, Piura",63%,"3- B,S,C","sweet, cherry, cream, raisin",3.5
1544,2482,Maverick,U.S.A.,2020,U.S.A.,"Hawai'i Island, Big Island, Mauna Kea",70%,"3- B,S,C","nutty, cheese, savory",3.0
1545,2486,Maverick,U.S.A.,2020,Vietnam,"Dak Nong, Marou Cacao",75%,"3- B,S,C","roasty, hammy, dirty",3.0
1546,2482,Maverick,U.S.A.,2020,Madagascar,"Akesson P., Sambirano",65%,"3- B,S,C","sweet edge, sour fruit",3.25
1547,1728,Mayacama,U.S.A.,2016,Dominican Republic,Hispaniola,72%,"2- B,S","gritty, sweet, earthy",3.0
1548,2474,McGuire,Canada,2020,Guatemala,"Cahabon E., ""Adioesmac""",70%,"3- B,S,C","musty, woody, rubbery, roasty",2.5
1549,2478,McGuire,Canada,2020,Belize,"Maya Mountain, Toledo",70%,"3- B,S,C","cocoa, strawberry",3.25
1550,1287,Meadowlands,U.S.A.,2014,Bolivia,Bolivia,70%,"2- B,S","pungent, off",2.5
1551,1287,Meadowlands,U.S.A.,2014,Venezuela,Venezuela,70%,"2- B,S","molasses, sweet, choco",2.75
1552,1287,Meadowlands,U.S.A.,2014,Belize,Belize,70%,"2- B,S","spicy, metallic, molasses",3.0
1553,1291,Meadowlands,U.S.A.,2014,Nicaragua,"Nicaragua, w/ inbs",70%,"2- B,S","fatty, sligthly bland, earthy",3.0
1554,1291,Meadowlands,U.S.A.,2014,Dominican Republic,Dominican Republic,70%,"2- B,S","high roast, nutty, deep choco",3.5
1555,2362,Mellow,Denmark,2019,Ecuador,"Camino Verde, Duran Region",85%,"2- B,S*","floral, earthy, bitter",2.5
1556,2362,Mellow,Denmark,2019,Dominican Republic,"Oko Caribe, El Cibao, 2018 Harvest",70%,"2- B,S*","dry, floral, dirty, coconut",2.75
1557,2362,Mellow,Denmark,2019,Philippines,"Kablon Farms, Mindanao Island, 2018 harvest",70%,"2- B,S*","smooth, coconut, cocoa",3.25
1558,2362,Mellow,Denmark,2019,Tanzania,"Kokoa Kamili, 2018 harvest, Mbingu Village",70%,"2- B,S*","creamy, coconut, cocoa",3.25
1559,837,Menakao (aka Cinagra),Madagascar,2012,Madagascar,Madagascar,80%,"4- B,S,C,L","sticky, tart, slight burnt",2.5
1560,841,Menakao (aka Cinagra),Madagascar,2012,Madagascar,Madagascar,72%,"4- B,S,C,L","uneven, smokey, hammy",2.5
1561,1347,Mesocacao,Honduras,2014,Honduras,Honduras,80%,"3- B,S,C","intense, ham, butterscotch",3.25
1562,1351,Mesocacao,Honduras,2014,Nicaragua,"La Tronca, Matagalpa",70%,"3- B,S,C","acidic, pomegrant, brownie",3.25
1563,1347,Mesocacao,Honduras,2014,Honduras,Honduras,70%,"3- B,S,C","intense, grassy, spicy, rich",3.5
1564,1351,Mesocacao,Honduras,2014,Nicaragua,"La Tronca, Matagalpa",80%,"3- B,S,C","dried fruit, rich cocoa",3.5
1565,1494,Mesocacao,Honduras,2015,El Salvador,El Salvador,80%,"3- B,S,C","fatty, bitter, woody, roasty",2.75
1566,1494,Mesocacao,Honduras,2015,El Salvador,El Salvador,70%,"3- B,S,C","dairy, caramel",3.0
1567,2250,Mestico,Brazil,2018,Brazil,"Fazenda Bonanca, Bahia",75%,"3- B,S,C","earthy, floral, rubbery",2.5
1568,1267,Metiisto,Sweden,2014,Brazil,"Fazenda Sempre Firme P., Bahia, batch 7",70%,"3- B,S,C","fatty, creamy, olive",3.0
1569,1267,Metiisto,Sweden,2014,Madagascar,"Akesson Estate, batch 10",72%,"3- B,S,C","creamy, fatty, mild cherry",3.5
1570,2166,Metiisto,Australia,2018,Solomon Islands,"Patovaki, Paspaskato Is",72%,"3- B,S,C","roasty/smokey, high acidity",3.25
1571,2170,Metiisto,Australia,2018,Solomon Islands,Tenaru,67%,"3- B,S,C","dried fruit, mild hammy",3.75
1572,1688,Metropolitan,Amsterdam,2015,Blend,South America,70%,"3- B,S,V","accesible, simple cocoa note",3.5
1573,2210,Meybol,Germany,2018,Peru,Piura Blanco,70%,"3- B,S,C","grape, mild smoke, sandy",3.5
1574,24,Michel Cluizel,France,2006,Blend,Carre Amer,60%,"4- B,S,C,V","sweet, crisp nibs",2.0
1575,24,Michel Cluizel,France,2006,Blend,Carre Grand Noir,85%,"4- B,S,C,V",bitter coffee flavor,2.0
1576,81,Michel Cluizel,France,2006,Blend,Noir Infini,99%,"4- B,S,C,V","smooth, bold, bitter",2.0
1577,24,Michel Cluizel,France,2006,Sao Tome,Tamarina,70%,"4- B,S,C,V","creamy, licorice, herbs",3.0
1578,24,Michel Cluizel,France,2006,Dominican Republic,Los Ancones P.,67%,"4- B,S,C,V","creamy, raisins, licorice",3.75
1579,24,Michel Cluizel,France,2006,Madagascar,Mangaro P.,65%,"4- B,S,C,V","grapefruit, spices",3.75
1580,24,Michel Cluizel,France,2006,Papua New Guinea,Maralumi P.,64%,"4- B,S,C,V",tropical fruit and mild smoke,3.75
1581,117,Michel Cluizel,France,2007,Venezuela,"Carenero Superior, Concepcion",66%,"4- B,S,C,V","cocoa, orange",3.5
1582,135,Michel Cluizel,France,2007,Sao Tome,Vila Gracinda,67%,"4- B,S,C,V","creamy, smoke, raspberry",3.5
1583,963,Michel Cluizel,France,2012,Mexico,"Chiapas, Mokaya P.",66%,"4- B,S,C,V","raisins, melon",3.75
1584,2020,Michel Cluizel,France,2017,Colombia,El Jardin,69%,"4- B,S,C,V","sandy, earthy, fatty",3.25
1585,2270,Michel Cluizel,France,2019,Brazil,Riachuelo Plantation,70%,"4- B,S,C,V","sandy, grits, nutty, vanilla",3.0
1586,2438,Michel Cluizel,France,2019,Guatemala,La Laguna Plantation,70%,"4- B,S,C,V","dairy, cocoa, fatty, apple",3.5
1587,887,Middlebury,U.S.A.,2012,Blend,Houseblend,65%,"4- B,S*,C,Sa","chemical, salt, wtf",1.5
1588,887,Middlebury,U.S.A.,2012,Bolivia,Alto Beni,75%,"4- B,S*,C,Sa","sticky, cardboard,why bother",2.0
1589,887,Middlebury,U.S.A.,2012,Indonesia,"Balinese, Java",70%,"4- B,S*,C,Sa","leather, salt",2.5
1590,1117,Middlebury,U.S.A.,2013,Dominican Republic,La Red,75%,"3- B,S*,Sa","molassses, palm, spicy",2.5
1591,1117,Middlebury,U.S.A.,2013,Belize,Belize,80%,"4- B,S,C,Sa","strawberry, cream, spice",3.25
1592,1538,Middlebury,U.S.A.,2015,Tanzania,Kokoa Kamili,75%,"3- B,S,C","banana, melon, fatty",3.25
1593,1490,Middlebury,U.S.A.,2015,Belize,Maya Mountain,80%,"3- B,S,C","woody, lemon, mild bitter",3.5
1594,1490,Middlebury,U.S.A.,2015,Trinidad,San Juan Estate,70%,"3- B,S,C","black pepper, dairy",3.5
1595,1538,Middlebury,U.S.A.,2015,Nicaragua,"Matagalpa, Cacao Bisiesto",70%,"3- B,S,C","rum, herbal, rich",3.5
1596,1490,Middlebury,U.S.A.,2015,Dominican Republic,Oko Caribe,75%,"3- B,S,C","spicy, rich, mint",3.75
1597,1490,Middlebury,U.S.A.,2015,Venezuela,"Patanemo, Epoch, Donaldo",75%,"3- B,S,C","nutty, grassy, woody",3.75
1598,2112,Mike & Becky,Belgium,2018,Dominican Republic,"Oko Caribe, hispaniola, 2017 harvest",70%,"3- B,S,C","fatty, simple",3.0
1599,2112,Mike & Becky,Belgium,2018,India,Idukki,70%,"3- B,S,C","candy spices, sweet",3.25
1600,2114,Mike & Becky,Belgium,2018,Peru,"Maranon, 2017 harvest",70%,"3- B,S,C","complex, true to origin",3.25
1601,2112,Mike & Becky,Belgium,2018,Belize,"San Jose, Toledo, 2017 harvest",70%,"3- B,S,C","grape, cocoa",3.5
1602,825,Millcreek Cacao Roasters,U.S.A.,2012,Ecuador,Ecuador,70%,"4- B,S,C,V","wine, brownie batter",3.5
1603,1073,Millcreek Cacao Roasters,U.S.A.,2013,Ecuador,Ecuador,70%,"4- B,S,C,V","unrefined, burnt nuts, vanilla",2.5
1604,2346,Millesime,Belgium,2019,Ecuador,"Los Rios, Arriba, 2017 Harvest",70%,"3- B,S,C","sandy, nutmeg, astringent",3.0
1605,2346,Millesime,Belgium,2019,India,"Kaithapara Village, Idukki, Kerala, 2017 H.",74%,"3- B,S,C","dry, sandy, empty, sweet",3.0
1606,2346,Millesime,Belgium,2019,Brazil,"Fazenda Leolinad, Bahia, 2017 H.",76%,"3- B,S,C","dry, sandy, dirt, empty",3.0
1607,2566,Millesime,Belgium,2021,Panama,Bocas del Toro,75%,"3- B,S,C","sandy, green, grassy, harsh",2.75
1608,2570,Millesime,Belgium,2021,India,Kaithapara,74%,"3- B,S,C","unripe fruit, sour, watery",3.0
1609,2570,Millesime,Belgium,2021,Tanzania,Kilombero Valley,90%,"3- B,S,C","sandy, bitter, sour fruit",3.0
1610,2214,Milton,Japan,2018,Brazil,Bahia,70%,"2- B,S","intense, sour, hammy",3.0
1611,2214,Milton,Japan,2018,Vietnam,Ben Tre,70%,"2- B,S","cocounut, late sour",3.25
1612,2210,Milton,Japan,2018,Madagascar,Ambanja,70%,"2- B,S","cocoa, mild pear, sticky",3.5
1613,2214,Milton,Japan,2018,Peru,"Piura Gran Blanco, Sisyu & Kiriyana Phoenix",70%,"2- B,S","grape, thick, chewy",3.75
1614,607,Mindo,U.S.A.,2010,Ecuador,Ecuador,77%,"3- B,S,C","dry, coffee notes from roaster",2.75
1615,2382,Mindo,U.S.A.,2019,Ecuador,"Ecuador, lot# 181220",67%,"3- B,S,C","sandy, harsh, floral",2.75
1616,1920,Minimal,Japan,2016,Haiti,"Acul-du-Nord, 2015",70%,"2- B,S","gritty, sweet, earty",3.5
1617,1960,Mirzam,U.A.E.,2017,Papua New Guinea,Papua New Guinea,72%,"2- B,S","few grits, intense smoke",3.0
1618,1960,Mirzam,U.A.E.,2017,Madagascar,Madagascar,72%,"2- B,S","tangy, roasty, ham",3.25
1619,1960,Mirzam,U.A.E.,2017,India,India,65%,"3- B,S,C","sweet, licoric",3.5
1620,1960,Mirzam,U.A.E.,2017,Vietnam,Vietnam,65%,"2- B,S","slight grainy, roasty, spicy",3.5
1621,2370,Mirzam,U.A.E.,2019,Tanzania,Kokoa Kamili,72%,"3- B,S,C","complex, fruit, nut, rich",3.75
1622,2458,Misina,Czech Republic,2020,Vietnam,Vietnam,70%,"3- B,S,C","sour fig, cocoa, creamy, fatty",3.5
1623,1626,Mission,Brazil,2015,Brazil,"Bahia, Fazenda Venturosa",70%,"2- B,S","coarse, smokey, citrus",3.5
1624,1880,Mission,Brazil,2016,Brazil,"Fazenda Camboa, Bahia",75%,"2- B,S","sticky, blackberry, acidic",3.75
1625,2354,Mission,Brazil,2019,Puerto Rico,"Puerto Rico, 2018 harvest",70%,"3- B,S,C","powdery, intense, floral",3.0
1626,955,Mita,Colombia,2012,Colombia,Tumaco,65%,,"vanilla, artificial, sweet",2.5
1627,607,Moho,U.S.A.,2010,Belize,"Umoho R., Toledo District, San Felipe",67%,"3- B,S,C","rough, sweet, dairy, vanilla",2.75
1628,1030,Moho,U.S.A.,2013,Belize,Toledo District,72%,"3- B,S,C","strawberry, blueberry",3.0
1629,1026,Moho,U.S.A.,2013,Belize,"Toledo District, w/ nibs",73%,"3- B,S,C",basic cocoa,3.25
1630,2198,Moka Origins,U.S.A.,2018,Brazil,Brazil,72%,"3- B,S,C","dirty, rubbery, spicy",2.5
1631,2170,Moka Origins,U.S.A.,2018,Cameroon,"Kombone Village, 2018 Harvest",68%,"2- B,S",earthy,3.0
1632,2350,Moka Origins,U.S.A.,2019,Sierra Leone,Gola Rainforest,72%,"3- B,S,C","roasty, honey, sweet",3.0
1633,2338,Moka Origins,U.S.A.,2019,Dominican Republic,Zorzal Estate,70%,"2- B,S","dark berry, earthy",3.5
1634,2450,Moka Origins,U.S.A.,2019,Tanzania,Kokoa Kamili,72%,"2- B,S","cocoa, fig, classic",3.75
1635,2648,Moku,U.S.A.,2021,Madagascar,"Bejofo, batch 7",70%,"3- B,S,C","creamy, off note, rubbery, petro",2.75
1636,2652,Moku,U.S.A.,2021,Dominican Republic,"Zorzal, batch 8",70%,"3- B,S,C","dark fruit, slight harsh molasses",3.25
1637,1618,Molucca,U.S.A.,2015,Indonesia,Indonesia,70%,"2- B,S","intense, smokey, floral",2.75
1638,1614,Molucca,U.S.A.,2015,Dominican Republic,La Red,70%,"2- B,S","overly intense, tart, red fruit",3.0
1639,1618,Molucca,U.S.A.,2015,Peru,Peru,70%,"2- B,S","dry, nutty, fruity",3.25
1640,661,Momotombo,Nicaragua,2011,Nicaragua,Matagalpa,70%,"2- B,S","unrefined, hay, sweet",2.75
1641,661,Momotombo,Nicaragua,2011,Nicaragua,Mombacho,70%,"2- B,S","unrefined, bright berry, sweet",2.75
1642,2142,Momotombo,Nicaragua,2018,Nicaragua,Nueva Waslala,70%,"3- B,S,C","fatty, floral, spicy",3.25
1643,1812,Monarque,Canada,2016,Dominican Republic,Oko Caribe,72%,"2- B,S","earthy, spicy, cocoa",3.5
1644,2680,Monarque,Canada,2021,Philippines,"Kablon, lot 07 (made for Etat de Choc)",76%,"3- B,S,C","black tea, floral",3.5
1645,1391,Monsieur Truffe,Australia,2014,Papua New Guinea,Papaua New Guinea,70%,,"smoke, ham, sour milk",3.25
1646,2222,Monsoon,U.S.A.,2018,Mexico,Chiapas,70%,"3- B,S,C","chalky, powdery, molasses",3.25
1647,2656,Monsoon,U.S.A.,2021,Peru,"Ucayali, batch 9",72%,"3- B,S,C","licorice, cocoa",3.5
1648,2542,Monsoon,U.S.A.,2021,Ecuador,"Esmeraldas, batch 9",75%,"2- B,S","intense, floral, cocoa,long lasting",3.75
1649,1654,Montecristi,Ecuador,2015,Ecuador,Manabi,70%,,"spicy, smoke, sour",3.25
1650,1654,Montecristi,Ecuador,2015,Ecuador,Manabi,63%,,"spicy, sweet, fragrant",3.5
1651,1658,Montecristi,Ecuador,2015,Ecuador,Manabi,85%,,"spicy, fragrant, bitter",3.5
1652,2490,MUCHO,Mexico,2020,Mexico,"Finca La Rioja E., Cacahoatan, Chiapas",70%,"3- B,S,C","light color, spicy, sweet, sour",3.0
1653,1462,Muchomas (Mesocacao),U.S.A.,2015,Nicaragua,Nicaragua,70%,"3- B,S,C","grassy, spicy, sweet",3.5
1654,1462,Muchomas (Mesocacao),U.S.A.,2015,Nicaragua,Nicaragua,80%,"3- B,S,C","sweet, rich",3.5
1655,2190,Musee du Chocolat Theobroma,Japan,2018,Venezuela,Chuao,70%,"2- B,S","Fruity, Roasty",3.5
1656,1896,Mutari,U.S.A.,2016,Dominican Republic,"Oko Caribe, batch 1 SRB",71%,"2- B,S","gritty, sweet, earthy",2.75
1657,1896,Mutari,U.S.A.,2016,Tanzania,"Kokoa Kamili, batch 1 SRB",68%,"2- B,S","dry, earthy, atypical",2.75
1658,1900,Mutari,U.S.A.,2016,Madagascar,"Ambanja, batch 1 SRB",68%,"2- B,S","sweet, molasses, gritty",2.75
1659,1900,Mutari,U.S.A.,2016,Vietnam,"Tien Giang, batch 1 SRB",80%,"2- B,S","gritty, tart, molasses",3.0
1660,1049,Nahua,Costa Rica,2013,Costa Rica,"Costa Rica, Oscuro",58%,"3- B,S,C","too sweet, earthy, off notes",2.5
1661,1049,Nahua,Costa Rica,2013,Costa Rica,"Costa Rica, Oscuro",70%,"3- B,S,C","earthy, spicy, cocoa",3.0
1662,867,Naive,Lithuania,2012,Grenada,Grenada,71%,"4- B,S,C,V","sandy, oranges",2.5
1663,1046,Naive,Lithuania,2013,Blend,Trinidad & Tobago,70%,"4- B,S,C,L","sandy, floral, spice, roasty",3.75
1664,1133,Naive,Lithuania,2013,Peru,"Maranon Canyon, Fortunato No. 4",78%,"4- B,S,C,L","orange, floral, caramel",3.75
1665,1399,Naive,Lithuania,2014,Venezuela,"Chuao, lot 0077",75%,"4- B,S,C,L","coarse, sweet, minty",2.75
1666,1399,Naive,Lithuania,2014,Venezuela,"Barinas, lot 0077",70%,"4- B,S,C,L","coarse, sweet",3.0
1667,1379,Naive,Lithuania,2014,Nicaragua,Nicaragua,70%,"4- B,S,C,L","sandy, intense, tropical fruit",3.25
1668,2458,Naive,Lithuania,2019,Nicaragua,"Rugoso, nanolot for Cacao Review",67%,"3- B,S,C","strong, rubbery, woody, sweet",2.75
1669,2418,Naive,Lithuania,2019,El Salvador,"Finca Concepcion, nano-lot",70%,"3- B,S,C","bold, savory, creamy",3.25
1670,1007,Nanea,U.S.A.,2013,U.S.A.,Criollo Blend,85%,,"sandy, spicy, earthy",3.5
1671,1403,Nathan Miller,U.S.A.,2014,Peru,Peru,72%,"2- B,S","metallic, medicinal, pungent",2.25
1672,1403,Nathan Miller,U.S.A.,2014,Dominican Republic,Hispaniola,70%,"2- B,S*","grassy, dirt, mild spice",2.5
1673,1403,Nathan Miller,U.S.A.,2014,Madagascar,Madagascar,73.5%,"2- B,S","intense, pungent, sour fruit",2.5
1674,1403,Nathan Miller,U.S.A.,2014,Ghana,Ghana,70%,"3- B,S,C","brownie, toffee",3.5
1675,2060,Nearynogs,Ireland,2018,Dominican Republic,"Hispaniola, batch 170308",70%,"2- B,S","dry, sandy, sweet, acidic",3.25
1676,15,Neuhaus (Callebaut),Belgium,2006,Blend,West Africa,73%,"5- B,S,C,V,L","non descript, poor aftertaste",2.0
1677,15,Neuhaus (Callebaut),Belgium,2006,Sao Tome,Sao Tome,75%,"5- B,S,C,V,L","grassy, earthy, burnt",2.75
1678,24,Neuhaus (Callebaut),Belgium,2006,Venezuela,Ocumare,71%,"5- B,S,C,V,L","pastey, complex, coffee,vanilla",3.0
